Gender,Religion_ID,Marital_Status,Designation_ID,Status,Employment_Type,Designation,Year_of_Birth,Joined_Date,Joined_Month,Joined_Year,Inactive_Day,Inactive_Month,Inactive_Year,Employment_Category_Labour,Employment_Category_Management,Employment_Category_Staff
1,1,1,24,1,1,Driver,1965,8,12,1993,,,,0,0,1
1,1,1,24,1,1,Driver,1973,14,3,1995,,,,0,0,1
1,1,1,23,0,1,Account Clerk,1974,27,1,1988,28.0,6.0,2021.0,0,0,1
0,4,1,40,0,1,Purchasing Officer,1974,1,10,1999,31.0,1.0,2022.0,0,0,1
1,1,1,7,1,1,Store Keeper,1980,26,1,2001,,,,0,0,1
1,1,1,22,0,1,Technical Officer,1962,29,9,2003,31.0,8.0,2020.0,0,0,1
1,1,1,22,1,1,Technical Officer,1969,10,11,2003,,,,0,0,1
1,1,1,126,1,1,Project Coordinator ,1981,16,2,2004,,,,0,0,1
0,1,0,23,1,1,Account Clerk,1974,1,6,2005,,,,0,0,1
1,1,1,41,0,1,Electrician,1967,1,7,2006,31.0,1.0,2022.0,0,0,1
1,1,1,42,0,1,Transport Officer,1976,29,8,2006,5.0,5.0,2021.0,0,1,0
1,3,0,7,1,1,Store Keeper,1986,1,11,2006,,,,0,0,1
1,1,1,24,0,1,Driver,1975,25,5,2007,23.0,5.0,2021.0,0,0,1
1,1,1,43,0,1,Operator - JCB,1984,12,11,2007,10.0,9.0,2020.0,0,0,1
1,1,1,44,0,1,Driver - Boom,1973,15,11,2008,21.0,5.0,2020.0,0,0,1
0,1,0,45,0,0,Construction Manager,1963,2,8,2010,30.0,4.0,2021.0,0,1,0
1,1,1,46,0,0,Operator - Crane,1981,5,8,2010,27.0,9.0,2020.0,0,0,1
1,1,1,35,1,0,Operator-Excavator,1990,26,10,2010,,,,0,0,1
1,1,1,7,1,0,Store Keeper,1961,24,3,2011,,,,0,0,1
1,5,0,48,1,0,Draughtsman,1982,3,11,2011,,,,0,0,1
1,1,1,33,0,0,Site Engineer,1965,21,11,2011,28.0,7.0,2020.0,0,0,1
1,1,0,27,0,0,Supervisor,1991,25,1,2012,30.0,6.0,2020.0,0,0,1
1,1,1,24,1,0,Driver,1978,29,1,2012,,,,0,0,1
